			
		There are two full copies of the credits - the one way below has no links or twitter handles for consoles	
			
ID	Consoles?	Name	Info
			
1		The Exocolonist Team	
1		Sarah Northway	Design, code, writing, direction, production\n <link="http://twitter.com/sarah_northway">@sarah_northway</link>\n <link="http://NorthwayGames.com">NorthwayGames.com</link>
1		Meilee Chao	Characters, sprites, animation, concept art, cards\n <link="http://twitter.com/bkomei">@bkomei</link>\n <link="http://bkomei.com">bkomei.com</link>
1		Lindsay Ishihiro	Narrative design, creature sprites, community\n <link="http://twitter.com/neomeruru">@neomeruru</link>\n <link="http://www.lindsayishihiro.ca">LindsayIshihiro.ca</link>
1		Eduardo Vargas	Background illustrations, concepts, cards, sprites\n <link="http://twitter.com/edvargasart">@edvargasart</link>\n <link="http://www.edvargasart.com">EdVargasArt.com</link>
			
			
2		<i></i>	
2		Colin Northway	Programming, testing, design consulting\n <link="http://twitter.com/colinnorthway">@colinnorthway</link>\n <link="http://NorthwayGames.com">NorthwayGames.com</link>
2		Sarah Webb	Concept art, backgrounds\n <link="http://twitter.com/bearsarered">@bearsarered</link>
2		Leanne Roed	UI Design, consulting\n <link="http://twitter.com/Lanroed">@Lanroed</link>
2		Sarah Roland	3d modeling\n <link="http://twitter.com/sarahrols">@sarahrols</link>
2		Diego De la Rocha	Animation\n <link="http://twitter.com/diegodelarocha">@diegodelarocha</link>
2		Rudro De	Level design consulting\n <link="http://twitter.com/rudrode">@rudrode</link>
2		Megan Ellis	Art book\n <link="http://twitter.com/officialmellis">@officialmellis</link>
			
			
			
			
			
3		A Shell in the Pit Audio	
3		Gordon McGladdery	Soundtrack production\n <link="http://twitter.com/AShellinthePit">@AShellinthePit</link>\n <link="https://ashellinthepit.com/">AShellInThePit.com</link>
3		Em Halberstadt	Audio design, trailer\n <link="http://twitter.com/emaudible">@emaudible</link>\n
3		Millie Wissar	Audio design\n <link="http://twitter.com/soundseeds">@soundseeds</link>\n
3		Rachel Sim	Audio production\n <link="http://twitter.com/RachelSimpleton">@RachelSimpleton</link>\n
			
			
4		Soundtrack	
4		Gordon McGladdery\n(A Shell in the Pit)	<i>Exocolonist Title Theme</i>\n <link="http://twitter.com/AShellinthePit">@AShellinthePit</link>\n <link="https://ashellinthepit.com/">AShellInThePit.com</link>
4		Daniel Rosenfeld (C418)	<i>Quiet</i>\n <link="http://twitter.com/C418">@C418</link>\n <link="https://c418.org/">c418.org</link>
4		Shannon Mason (Pongball)	<i>Pollen</i>\n <link="http://twitter.com/pongball">@pongball</link>\n <link="https://soundcloud.com/pongball">soundcloud.com/pongball</link>
4		Andrew Rohrmann (scntfc)	<i>Dust</i>\n <link="http://twitter.com/scntfc">@scntfc</link>\n <link="https://scntfc.bandcamp.com/">scntfc.bandcamp.com</link>
4		Gabriel Koenig\n(Ghost Time Games)	<i>Stars at Sunrise</i>\n <link="http://twitter.com/ghosttimegames">@ghosttimegames</link>\n <link="https://bandcamp.com/gabrielkoenig">bandcamp.com/gabrielkoenig</link>
4		sintecta	<i>Becoming</i>\n <link="https://sintecta.bandcamp.com/">sintecta.bandcamp.com</link>
4		Kiyoshi Iio (Koku)	<i>Childhood's Memory, Teens's Bravery, \nAdulthood's Serenity</i>\n <link="http://twitter.com/koku_music">@koku_music</link>\n <link="https://koku-music.bandcamp.com">https://koku-music.bandcamp.com</link>\n <link="https://www.youtube.com/channel/UCGC_cj-DO3Uuq4d9BOtFzTg">Youtube</link>
4		Al Diaz, Rupert Lally,\nand Espen J Jörgensen	<i>Uendelig</i>\n <link="http://al-diaz.com">al-diaz.com</link>\n <link="http://twitter.com/rupertlally">@rupertlally</link>\n <link="http://twitter.com/nostudio">@nostudio</link>
4		Boris Potschubay\n(Jogging House)	<i>Bloom, Reeds, Gardens, Wounds, Instincts</i>\n From the Album <link="https://seilrecords.bandcamp.com/album/lure">Lure</link> and others\n <link="http://twitter.com/JoggingHouse">@JoggingHouse</link>\n <link="https://jogginghouse.com/">jogginghouse.com</link>
4		Tim Rich (Crooked Walking)	<i>Inland gray, Haus, Motion II, \nForest Pictures in the Adirondacks</i>\n From the Album <link="https://seilrecords.bandcamp.com/album/as-it-moves-in-dark">As it moves in dark</link>\n <link="https://www.instagram.com/crookedwalking/">instagram.com/crookedwalking</link>\n <link="https://www.youtube.com/channel/UCLu-vxEr9ZDClyizA5P_aVw">Youtube</link>
4		Jake Gauntlett	<i>Glass, Woven</i>\n <link="https://open.spotify.com/artist/5vuVzZ4ohsZF6s6ReeHIAD">Jake Gauntlett on Spotify</link>
4		Frances Aravel	<i>The Child You Were</i>\n From <link="https://francesaravel.bandcamp.com/album/shining-out-of-the-dark">Shining Out Of The Dark EP</link>\n <link="http://francesaravel.com">FrancesAravel.com</link>\n <link="https://www.instagram.com/frances_aravel">instagram.com/frances_aravel</link>
4		Colin Northway	<i>Laser Teeth</i>\n <link="http://northwaygames.com">NorthwayGames.com</link>
			
			
			
5		Card Artists	
5			<link="https://adrienbregeot.cargo.site/">Adrien Brégeot</link> (<link="https://www.instagram.com/ade.breg/">@ade.breg</link>), <link="https://www.behance.net/paulagonzart">Agui-chart</link> (<link="https://twitter.com/Agui_chart">@Agui_chart</link>), <link="alepresser.com">AlePresser</link>, <link="https://alienmandy.com/">alienmandy</link> (<link="alienmandy_">@alienmandy_</link>), <link="https://amukart.wixsite.com/portfolio">amuk.art</link> (<link="https://www.instagram.com/amuk.art/">@amuk.art</link>), <link="https://www.behance.net/angela_intriago">Angela Intriago</link> (<link="https://twitter.com/LaMalaMuerte">@LaMalaMuerte</link>), <link="https://anqi.pb.studio/">anqi</link> (<link="https://twitter.com/anqitwt">@anqitwt</link>), <link="https://www.artstation.com/sparksel">Beth Sparks</link> (<link="https://twitter.com/Sparksel">@Sparksel</link>), <link="http://bluebry.weebly.com/gallery.html">Blue</link> (<link="https://twitter.com/bluebryjam">@bluebryjam</link>), <link="https://blueranyk.carrd.co/">Blue</link> (<link="https://twitter.com/blueranyk">@blueranyk</link>), <link="https://www.artstation.com/bartokk">boni</link> (<link="https://twitter.com/itsameboni">@itsameboni</link>), <link="https://bubbleteapenguin.weebly.com/">Bubble Tea Penguin</link> (<link="https://twitter.com/bobateapenguin">@bobateapenguin</link>), <link="https://instagram.com/ChevyRay">ChevyRay</link> (<link="https://twitter.com/ChevyRay">@ChevyRay</link>), <link="https://collinwilhelm.squarespace.com/art/illustrations">Collin Wilhelm</link> (<link="https://twitter.com/MandrakorArt">@MandrakorArt</link>), <link="https://www.comicenginealex.com/">Comicenginealex</link> (<link="https://twitter.com/Comicenginealex">@Comicenginealex</link>), <link="https://cupidbeauxportfolio.carrd.co/">cupidbeaux</link> (<link="https://twitter.com/cupidbeaux">@cupidbeaux</link>), <link="https://www.danieljoelnewman.com/illustration/">Daniel Joel Newman</link> (<link="https://twitter.com/dananddna">@dananddna</link>), <link="https://dannaria.carrd.co/">Dannaria</link> (<link="https://twitter.com/dannariart">@dannariart</link>), <link="https://darcydee.com/">Darcy Dee</link> (<link="https://twitter.com/neptuneboneface">@neptuneboneface</link>), <link="https://denimbxy.artstation.com/">denimbxy</link> (<link="https://www.instagram.com/denimbxy">@denimbxy</link>), <link="https://dianavn.portfoliobox.net/">Diana Nguyen (Requiemofkings)</link> (<link="https://twitter.com/requiemofkings">@requiemofkings</link>), <link="https://dortchbianca.wixsite.com/gallery">Donovan</link> (<link="https://twitter.com/astr0dile">@astr0dile</link>), <link="https://ezhangart.tumblr.com/">Eggsy Zhang</link> (<link="https://twitter.com/ezhangart">@ezhangart</link>), <link="https://gabitoussaint.carrd.co/">ElectroHex</link> (<link="https://twitter.com/galactigatorr">@galactigatorr</link>), <link="https://www.behance.net/cherriesorbet">Emily Yates</link> (<link="https://twitter.com/cherriesorbet">@cherriesorbet</link>), <link="eadoyle.com">Erica Doyle</link> (<link="https://twitter.com/eadoyle">@eadoyle</link>), <link="https://www.felinetrickster.com/">FelineTrickster</link> (<link="https://twitter.com/FelineTrickster">@FelineTrickster</link>), <link="https://fruzsipittner.com">Fruzsina Pittner</link> (<link="https://twitter.com/rynezion">@rynezion</link>), <link="https://georgialiu.weebly.com/">Georgia Liu</link> (<link="https://twitter.com/largeonions">@largeonions</link>), <link="https://geotaloncommissions.weebly.com/">geotalon</link> (<link="https://twitter.com/geotalon">@geotalon</link>), <link="www.giuliabiazus.com">Giulia Zielasko Biazus</link> (<link="https://twitter.com/giuliabiazus">@giuliabiazus</link>), <link="https://marigoldbartlett.tumblr.com">Goldie Bartlett</link> (<link="https://twitter.com/GhostTownGoldie">@GhostTownGoldie</link>), <link="graveomens.com">Grave Omens</link> (<link="https://twitter.com/graveomens">@graveomens</link>), <link="https://www.artstation.com/guilhermerm_art">GuilhermeRM</link> (<link="https://twitter.com/GuilhermeRM_art">@GuilhermeRM_art</link>), Gzei  (<link="https://twitter.com/Gzeidraws">@Gzeidraws</link>), <link="https://s-cport.tumblr.com/">Haveafreakday</link> (<link="https://twitter.com/Haveafreakday">@Haveafreakday</link>), <link="https://hooitsclaire.wixsite.com/hooitsclaire">Hoo? Its Claire</link> (<link="https://twitter.com/hooitsclaire">@hooitsclaire</link>), <link="hmnprsn.org">human person</link> (<link="https://twitter.com/hmnprsn">@hmnprsn</link>), <link="https://ko-fi.com/lonriac0053/gallery">Ian Garces</link> (<link="https://twitter.com/lonriac">@lonriac</link>), <link="https://rebecca-polidori.tumblr.com/">JayJay</link> (<link="https://twitter.com/Lopteldr">@Lopteldr</link>), <link="https://jillpowell3.wixsite.com/jilldraws">Jillus</link> (<link="https://twitter.com/Jillus">@Jillus</link>), <link="yujoanna.com">Joanna Yu</link> (<link="https://twitter.com/yuphrates">@yuphrates</link>), <link="https://www.jooyoungchang.com/">Jooyoung Chang</link> (<link="https://twitter.com/joouerart">@joouerart</link>), <link="http://joshcornillon.com">Josh Cornillon</link> (<link="https://twitter.com/joshcornillon">@joshcornillon</link>), <link="https://artpghero.tumblr.com/">jrpgdog</link> (<link="https://twitter.com/jrpgdog">@jrpgdog</link>), <link="https://kimcan.wixsite.com/kimcandesign">jubiboon</link> (<link="https://twitter.com/jubiboon">@jubiboon</link>), <link="juliejubz.com">JulieJubz</link> (<link="https://twitter.com/juliejubz">@juliejubz</link>), <link="https://karagna.carrd.co/#portfolio">Karagna</link> (<link="https://twitter.com/Karagna_">@Karagna_</link>), <link="https://aileenmliu.wixsite.com/portfolio">Kenby L.</link> (<link="https://twitter.com/milkbabbit">@milkbabbit</link>), <link="www.kirachangart.format.com">Kira Chang</link> (<link="https://twitter.com/rwrabbit">@rwrabbit</link>), <link="https://kitsuneten.tumblr.com/">kitsuneten</link> (<link="https://twitter.com/kitsuneten">@kitsuneten</link>), <link="http://kolo.games/illustration">koloquials</link> (<link="https://twitter.com/koloquials">@koloquials</link>), <link="artbyvalence.artstation.com">Lance (artbyvalence)</link> (<link="https://twitter.com/artbyvalence">@artbyvalence</link>), <link="larsfazartesgallery.carrd.co">Lars Carrijo</link> (<link="https://twitter.com/larsfazartes">@larsfazartes</link>), <link="https://www.artstation.com/lililla">Lilla</link> (<link="https://twitter.com/s4liller">@s4liller</link>), <link="https://www.dinopony.com">Lindsay Peltz</link> (<link="https://twitter.com/dinosaurandpony">@dinosaurandpony</link>), <link="https://www.artstation.com/lolouie">Louis Chen</link> (<link="https://www.instagram.com/lolouie.art/">@lolouie.art</link>), <link="https://www.lukege.com/">Luke Ge</link> (<link="https://twitter.com/strawbearrymilk">@strawbearrymilk</link>), <link="https://ello.co/makorie">Makorie</link> (<link="https://twitter.com/MakorieTV">@MakorieTV</link>), <link="https://www.malihehrahrovan.com/">Maliheh</link> (<link="https://twitter.com/maliheh_rahrovan">@maliheh_rahrovan</link>), <link="https://marinarubio.portfoliobox.net/">Marina Rubio</link> (<link="https://twitter.com/marinukpencilp">@marinukpencilp</link>), <link="https://prairiecryptid.com">Matt Xie</link> (<link="https://twitter.com/prairiecryptid">@prairiecryptid</link>), <link="https://mattibee-portfolio.tumblr.com">Mattibee</link> (<link="https://twitter.com/mattibee_arts">@mattibee_arts</link>), <link="meli.deviantart.com">Mélanie Christin</link> (<link="https://twitter.com/Melibellule">@Melibellule</link>), <link="http://www.yellowmellearts.com/portfolio.html">Melissa Peacock</link> (<link="https://twitter.com/Yellowmelle">@Yellowmelle</link>), <link="https://mhuyoportfolio.tumblr.com/">Mhuyo</link> (<link="https://twitter.com/Mhuyo">@Mhuyo</link>), <link="https://mhuyoportfolio.tumblr.com/">Mhuyo</link> (<link="https://twitter.com/Mhuyo">@Mhuyo</link>), <link="https://michelmims.artstation.com">Michel Mims</link> (<link="https://twitter.com/mimscosara">@mimscosara</link>), <link="https://www.artstation.com/michellebarros">Michelle Barros</link> (<link="https://www.instagram.com/kure_indreams/">@kure_indreams</link>), <link="https://www.artstation.com/animichii">Michelle Siddiqui</link> (<link="https://twitter.com/animichii">@animichii</link>), <link="https://navasketch.com/">navasketch</link> (<link="https://twitter.com/navasketch">@navasketch</link>), <link="www.neanaillustration.com">Neana</link> (<link="https://twitter.com/snowneana">@snowneana</link>), <link="https://www.shiroganejpg.com/gallery">Nísa A. D.</link> (<link="https://twitter.com/shiroganejpg">@shiroganejpg</link>), <link="oenomene.carrd.co">Oenomene</link> (<link="https://twitter.com/oenomene">@oenomene</link>), <link="https://onstamonsta.weebly.com/portfolio.html">Onsta</link> (<link="https://twitter.com/OnstaMonsta">@OnstaMonsta</link>), <link="https://www.instagram.com/ooorangy">Ooorangy</link> (<link="https://twitter.com/ooorangy">@ooorangy</link>), Paniistaa  (<link="https://www.instagram.com/paniistaa">@paniistaa</link>), Pattra Audcharevorakul  (<link="https://www.instagram.com/ohpatpatt">@ohpatpatt</link>), <link="https://www.artstation.com/pigdemonart">PigDemonArt</link> (<link="https://twitter.com/PigDemonArt">@PigDemonArt</link>), <link="https://www.behance.net/e4479050">Polina Raspbrrd</link> (<link="https://www.instagram.com/raspbrrd">@raspbrrd</link>), <link="pyrokidsosa.carrd.co">PyrokidSosa</link> (<link="https://twitter.com/PKSosa">@PKSosa</link>), <link="https://quinncysama.portfoliobox.net/progressivestyle">QuinncySama</link> (<link="https://twitter.com/quinncysama">@quinncysama</link>), Qushung  (<link="https://www.instagram.com/qushung">@qushung</link>), <link="https://krystalcandelario.wixsite.com/krystalcandelario">R0ppi</link> (<link="https://twitter.com/R0ppi00">@R0ppi00</link>), <link="https://rachelharveyillustration.weebly.com/">Rachel Harvey</link> (<link="https://twitter.com/rekio_art">@rekio_art</link>), <link="https://www.rebeccasnowden.com/personal-art-1">Rebecca "Mal" Snowden</link> (<link="https://twitter.com/cgkpluie">@cgkpluie</link>), <link="https://regammaro.tumblr.com/">Rin</link> (<link="https://twitter.com/Rinbaka">@Rinbaka</link>), Sabrina Carlin  (<link="https://twitter.com/beasprout">@beasprout</link>), <link="https://www.behance.net/sitriga">Sarah Mendonça</link> (<link="https://twitter.com/Sitriga">@Sitriga</link>), <link="https://sarielsnowings.artstation.com">Sariel Snowings</link> (<link="https://twitter.com/SarielSnowings">@SarielSnowings</link>), Sean'nell  (<link="https://twitter.com/shiioneru">@shiioneru</link>), <link="https://www.behance.net/sharimc">Shari McConochie</link> (<link="https://twitter.com/merlemage">@merlemage</link>), <link="https://www.artstation.com/sitaart">Sita Duncan</link> (<link="https://twitter.com/sitaart">@sitaart</link>), <link="https://sophieboerlage.com/art/">Sophie Boerlage</link>, <link="https://www.sophiecalhoun.com/illustration">Sophie Calhoun</link> (<link="https://www.instagram.com/sophcal_art">@sophcal_art</link>), <link="https://tacticiantactless.weebly.com/">Tactician Tactless</link> (<link="https://www.instagram.com/tactician_tactless/">@tactician_tactless</link>), <link="https://juangeedraws-portfolio.squarespace.com/">Tan Juan Gee</link> (<link="https://twitter.com/juangeedraws">@juangeedraws</link>), <link="tashyuu.wixsite.com/tashyuu">Tashyuu</link> (<link="https://twitter.com/Tashyuwu">@Tashyuwu</link>), <link="timrossart.com.au">Tim Ross</link> (<link="https://www.instagram.com/tim.oci">@tim.oci</link>), <link="https://www.vinwerneck.com/">Vin Werneck</link> (<link="https://twitter.com/VinWerneck">@VinWerneck</link>)
			
			
6		Finji (Publishing)	
6		Rebekah Saltsman	Cofounder & CEO
6		Adam Saltsman	Cofounder & Director
6		Harris Foster	Community Management
6		Emily Liles	Assistant Business Development
6		Nathan Black	Ops Management
6		Jonah Davidson	Quality Assurance
6		Gwen Sandel	Quality Assurance
6		Taylor Normington	Quality Assurance
6		Matthew Wegner	Build Server IT
6		Michael Lee	Optimization Consulting
6		Heather Winter	Additional Support
			
			
8		22nd Century Toys (Porting)	
8		Tony Bratton	Technical Direction
8		Keola Silva	Programming 
8		Cullen Sturdivant	Programming 
8		Sean Barton	Programming 
8		Andy Arizpe	Programming 
8		Matt Scates	Production 
8		Delaney Bannon	Production 
8		Zane Bratton	Testing 
8		Joe Barton	Additional Support
8		Cory Jackson	Additional Support
8		Tim Godwin	Additional Support
8		Jeremy Jorgensen	Additional Support
8		Edwin Silerio	Additional Support
			
			
9		ICO Partners (Marketing)	
9			David Ortiz, Thomas Bidaux, Hyunah Chun, Lisa Kneidl, Fanny Moreaux, David Almodovar, Aaron Hinchion, Enrique Garcia, James Bartholomeou, Lisa Eliasson, Jessica Richard, James O'Leary
			
			
10		Special Thanks	
10			Glenn and Pat Collins, Shiona and Steven Northway, Kelly Wallick, Greg Lobanov, Hannah Boyd, Chevy Ray Johnston, Karlee Esmailli, Lindsay Jorgensen, Rebecca Shin (Sunmi), Dorian Dutrieux, Maliheh Rahrovan, Ben Bonner, Matthew Wegner, Lars Doucet, Xelu
10			Kev and "Momo" Ishihiro, Hugh and Alyce Dignall
10			Ed's wonderful wife Sharon and his cat daughter Bastet
10			Sensitivity readers Maple Intersectionality (<link="http://twitter.com/TheLeonaMaple">@TheLeonaMaple</link>), Keara Lightning (<link="http://twitter.com/kearalightning">@kearalightning</link>), Helen Gould (<link="http://twitter.com/Alecto101">@Alecto101</link>)
			
			
			
11		And Extra-Special Thanks	
11		♢ ♠ To our Amazing ♡ ♢\n♦ Beta Testers ♥	
11			42XD, anoushka.kali, argonautilus, Aslene, bengrue, caden/karma, canarie, Citro, David the rad, Doragonshi, ellíott-lee, Frings, gemini441, Glenn Collins, Harmony, HeckinRobin, InsouciantMe, Joy, Kitaro, Kuroshiro Ruka, LanguiDude, melitree, mermaidriot, Miikka Ryökäs, Mitch, Nelson, no, Possum, ProtoZoetrope, PunishedCoriolis, qwertyops900, R-Cane, Rainlife, riotblob, Selsynn, SharktoothJack, Shenanigans, Skye, sleepy, SquiSunTomo, Storm, SUNNY, Taltos Khan, Tarkadaleks, the hobbit, ThunderFox07, Tiny, Unknowledge, Violet Snow, Zomebit, Zurcuś
			
			
			
			
			
			
1	TRUE	The Exocolonist Team	
1	TRUE	Sarah Northway	Design, code, writing, direction, production\n\n\n
1	TRUE	Meilee Chao	Characters, sprites, animation, concept art, cards\n\n\n
1	TRUE	Lindsay Ishihiro	Narrative design, creature sprites, community\n\n\n
1	TRUE	Eduardo Vargas	Background illustrations, concepts, cards, sprites\n\n\n
	TRUE		
	TRUE		
2	TRUE	<i></i>	
2	TRUE	Colin Northway	Programming, testing, design consulting
2	TRUE	Sarah Webb	Concept art, backgrounds
2	TRUE	Leanne Roed	UI Design, consulting
2	TRUE	Sarah Roland	3d modeling
2	TRUE	Diego De la Rocha	Animation
2	TRUE	Rudro De	Level design consulting
2	TRUE	Megan Ellis	Art book
	TRUE		
	TRUE		
	TRUE		
	TRUE		
	TRUE		
3	TRUE	A Shell in the Pit Audio	
3	TRUE	Gordon McGladdery	Soundtrack production
3	TRUE	Em Halberstadt	Audio design, trailer
3	TRUE	Millie Wissar	Audio design
3	TRUE	Rachel Sim	Audio production
	TRUE		
	TRUE		
4	TRUE	Soundtrack	
4	TRUE	Gordon McGladdery\n(A Shell in the Pit)	<i>Exocolonist Title Theme</i>
4	TRUE	Daniel Rosenfeld (C418)	<i>Quiet</i>
4	TRUE	Shannon Mason (Pongball)	<i>Pollen</i>
4	TRUE	Andrew Rohrmann (scntfc)	<i>Dust</i>
4	TRUE	Gabriel Koenig\n(Ghost Time Games)	<i>Stars at Sunrise</i>
4	TRUE	sintecta	<i>Becoming</i>
4	TRUE	Kiyoshi Iio (Koku)	<i>Childhood's Memory, Teens's Bravery, \nAdulthood's Serenity</i>
4	TRUE	Al Diaz, Rupert Lally,\nand Espen J Jörgensen	<i>Uendelig</i>
4	TRUE	Boris Potschubay\n(Jogging House)	<i>Bloom, Reeds, Gardens, Wounds, Instincts</i>
4	TRUE	Tim Rich (Crooked Walking)	<i>Inland gray, Haus, Motion II, \nForest Pictures in the Adirondacks</i>
4	TRUE	Jake Gauntlett	<i>Glass, Woven</i>
4	TRUE	Frances Aravel	<i>The Child You Were</i>
4	TRUE	Colin Northway	<i>Laser Teeth</i>
	TRUE		
	TRUE		
5	TRUE	Card Artists	
5	TRUE		Adrien Brégeot, Agui-chart, AlePresser, alienmandy, amuk.art, Angela Intriago, anqi, Beth Sparks, Blue, Blue, boni, Bubble Tea Penguin, ChevyRay, Collin Wilhelm, Comicenginealex, cupidbeaux, Daniel Joel Newman, Dannaria, Darcy Dee, denimbxy, Diana Nguyen , Donovan, Eggsy Zhang, ElectroHex, Emily Yates, Erica Doyle, FelineTrickster, Fruzsina Pittner, Georgia Liu, geotalon, Giulia Zielasko Biazus, Goldie Bartlett, Grave Omens, GuilhermeRM, Gzei , Haveafreakday, Hoo? Its Claire, human person, Ian Garces, JayJay, Jillus, Joanna Yu, Jooyoung Chang, Josh Cornillon, jrpgdog, jubiboon, JulieJubz, Karagna, Kenby L., Kira Chang, kitsuneten, koloquials, Lance , Lars Carrijo, Lilla, Lindsay Peltz, Louis Chen, Luke Ge, Makorie, Maliheh, Marina Rubio, Matt Xie, Mattibee, Mélanie Christin, Melissa Peacock, Mhuyo, Mhuyo, Michel Mims, Michelle Barros, Michelle Siddiqui, navasketch, Neana, Nísa A. D., Oenomene, Onsta, Ooorangy, Paniistaa , Pattra Audcharevorakul , PigDemonArt, Polina Raspbrrd, PyrokidSosa, QuinncySama, Qushung , R0ppi, Rachel Harvey, Rebecca "Mal" Snowden, Rin, Sabrina Carlin , Sarah Mendonça, Sariel Snowings, Sean'nell , Shari McConochie, Sita Duncan, Sophie Boerlage, Sophie Calhoun, Tactician Tactless, Tan Juan Gee, Tashyuu, Tim Ross, Vin Werneck
	TRUE		
	TRUE		
6	TRUE	Finji (Publishing)	
6	TRUE	Rebekah Saltsman	Cofounder & CEO
6	TRUE	Adam Saltsman	Cofounder & Director
6	TRUE	Harris Foster	Community Management
6	TRUE	Emily Liles	Assistant Business Development
6	TRUE	Nathan Black	Ops Management
6	TRUE	Jonah Davidson	Quality Assurance
6	TRUE	Gwen Sandel	Quality Assurance
6	TRUE	Taylor Normington	Quality Assurance
6	TRUE	Matthew Wegner	Build Server IT
6	TRUE	Michael Lee	Optimization Consulting
6	TRUE	Heather Winter	Additional Support
	TRUE		
	TRUE		
8	TRUE	22nd Century Toys (Porting)	
8	TRUE	Tony Bratton	Technical Direction
8	TRUE	Keola Silva	Programming 
8	TRUE	Cullen Sturdivant	Programming 
8	TRUE	Sean Barton	Programming 
8	TRUE	Andy Arizpe	Programming 
8	TRUE	Matt Scates	Production 
8	TRUE	Delaney Bannon	Production 
8	TRUE	Zane Bratton	Testing 
8	TRUE	Joe Barton	Additional Support
8	TRUE	Cory Jackson	Additional Support
8	TRUE	Tim Godwin	Additional Support
8	TRUE	Jeremy Jorgensen	Additional Support
8	TRUE	Edwin Silerio	Additional Support
	TRUE		
	TRUE		
9	TRUE	ICO Partners (Marketing)	
9	TRUE		David Ortiz, Thomas Bidaux, Hyunah Chun, Lisa Kneidl, Fanny Moreaux, David Almodovar, Aaron Hinchion, Enrique Garcia, James Bartholomeou, Lisa Eliasson, Jessica Richard, James O'Leary
	TRUE		
	TRUE		
10	TRUE	Special Thanks	
10	TRUE		Glenn and Pat Collins, Shiona and Steven Northway, Kelly Wallick, Greg Lobanov, Hannah Boyd, Chevy Ray Johnston, Karlee Esmailli, Lindsay Jorgensen, Rebecca Shin (Sunmi), Dorian Dutrieux, Maliheh Rahrovan, Ben Bonner, Matthew Wegner, Lars Doucet, Xelu
10	TRUE		Kev and "Momo" Ishihiro, Hugh and Alyce Dignall
10	TRUE		Ed's wonderful wife Sharon and his cat daughter Bastet
10	TRUE		Sensitivity readers Maple Intersectionality, Keara Lightning, Helen Gould
	TRUE		
	TRUE		
	TRUE		
11	TRUE	And Extra-Special Thanks	
11	TRUE	♢ ♠ To our Amazing ♡ ♢\n♦ Beta Testers ♥	
11	TRUE		42XD, anoushka.kali, argonautilus, Aslene, bengrue, caden/karma, canarie, Citro, David the rad, Doragonshi, ellíott-lee, Frings, gemini441, Glenn Collins, Harmony, HeckinRobin, InsouciantMe, Joy, Kitaro, Kuroshiro Ruka, LanguiDude, melitree, mermaidriot, Miikka Ryökäs, Mitch, Nelson, no, Possum, ProtoZoetrope, PunishedCoriolis, qwertyops900, R-Cane, Rainlife, riotblob, Selsynn, SharktoothJack, Shenanigans, Skye, sleepy, SquiSunTomo, Storm, SUNNY, Taltos Khan, Tarkadaleks, the hobbit, ThunderFox07, Tiny, Unknowledge, Violet Snow, Zomebit, Zurcuś