ID	EN	Example or notes
popup_missingGroundhogs_warn	Это навсегда заменит ВСЕ воспоминания о прошлых жизнях и контент галереи.\n\nЭто не повлияет на достижения на других платформах, только на их запись в галерее игры.	
popup_missingGroundhogs_done	Восстановление завершено	
popup_missingGroundhogs_done2	Воспоминания о прошлых жизнях восстановлены из этого файла сохранения в Groundhogs.json. Предыдущий файл сохранен в Groundhogs_old.json.	
popup_saveFailed	ОШИБКА: не удалось сохранить файл. Возможно, ваше хранилище переполнено, или игра повреждена.	
popup_saveFailedFinal	ПОСЛЕДНЕЕ ПРЕДУПРЕЖДЕНИЕ: не удалось сохранить данные в файловую систему.	
		
		
		
		
suit_none	ничего	
suit_social	социальная	
suit_mental	ментальная	
suit_physical	физическая	
suit_wildcard	вайлд	
suitWithColor_none	ничего	
suitWithColor_social	социальная (жёлтая)	
suitWithColor_mental	ментальная (синяя)	
suitWithColor_physical	физическая (красная)	
suitWithColor_wildcard	вайлд	
card_left	слева	Will be replaced with a left arrow when it appears in card text
card_right	справа	
		
		
player_explore_stress	Проходит время...\n{1}	Time passes... +20 stress
player_explore_stress_high	Тебе стоит\nскоро пойти домой...	
player_colony_stress_high	Скоро тебе\nнужен перерыв...	
player_colony_stress_max	Тебе нужен\nотдых...	
player_biomeTitle_strato	Колония\nСтрато	
player_biomeTitle_helio	Колония\nГелио	
		
		
		
		
		
		
fancyButton_continue	Нажмите, чтобы продолжить...	
fancyButton_continue_ps	Нажмите кнопку X чтобы продолжить...	
fancyButton_continue_switch	Нажмите кнопку A чтобы продолжить...	
fancyButton_continue_xbox	Нажмите кнопку A чтобы продолжить...	
fancyButton_continue_deck	Нажмите кнопку A чтобы продолжить...	
		
		
tutorial_start1	"Ой! Темми подпрыгивает, когда ты выходишь из каюты позади неё. ""Ты проснулся! Тебе уже лучше? Тебе лучше пойти к папе!"" Она указывает на юго-восток, в сторону геодезических куполов."	
		
tutorial_start2	Для ходьбы используйте клавиши WASD, стрелки, щелчок мышью, щелчок и удержание кнопки мыши, а также крестовину или аналоговый джойстик. Чтобы поговорить с персонажем, щелкните по нему или нажмите Enter или кнопку «Взаимодействовать», когда вы находитесь рядом с ним.	
tutorial_start2_pc	Чтобы идти, щёлкните по земле. Чтобы поговорить с персонажами, щёлкните по ним.	
tutorial_start2_ps	Для ходьбы используйте левый стик или кнопки направления. Чтобы поговорить с персонажем, нажмите кнопку X, находясь рядом с ним.	
tutorial_start2_switch	Чтобы ходить, наклоните левый стик или нажмите кнопки направления. Чтобы поговорить с персонажем, нажмите кнопку A, находясь рядом с ним, или коснитесь сенсорного экрана.	
tutorial_start2_xbox	Для ходьбы используйте левый аналоговый стик или крестовину. Чтобы поговорить с персонажем, нажмите кнопку A, находясь рядом с ним.	
tutorial_start2_deck	Для ходьбы используйте левый аналоговый стик или крестовину. Чтобы поговорить с персонажем, нажмите кнопку A, находясь рядом с ним, или коснитесь сенсорного экрана.	
		
tutorial_doors	Чтобы войти в здание, щелкните по двери или флагу рядом с ним, или подойдите ближе и нажмите «Вход» или другую кнопку действия.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_pc	Чтобы войти в здание, щелкните по двери или флагу рядом с ним, или подойдите ближе и нажмите «Вход» или другую кнопку действия.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_ps	Чтобы войти в здание, нажмите кнопку X рядом с дверью или флагом.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_switch	Чтобы войти в здание, нажмите кнопку A рядом с дверью или флагом, или коснитесь сенсорного экрана.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_xbox	Чтобы войти в здание, нажмите кнопку A рядом с дверью или флагом.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
tutorial_doors_deck	Чтобы войти в здание, нажмите кнопку A рядом с дверью или флагом, или коснитесь сенсорного экрана.\n\nЗатем выберите занятие на месяц, чтобы получить навыки и продвинуться во времени. В году 13 месяцев, до конца игры — 10 лет. У вас будет время сосредоточиться лишь на нескольких вещах.	
		
tutorial_deck	"С возрастом ваша колода будет пополняться, и вы сможете забыть о картах, проводя время за отдыхом.\n\nУ вас ограниченное количество слотов для снаряжения, зависящее от вашего навыка ""Собранность"" и прочих. Щелкните по снаряжению, чтобы надеть/снять его.\n\nНайденные во время исследования находки можно дарить друзьям или использовать в испытаниях для получения одноразовых бонусов."	
tutorial_explore	"Событие в этой зоне можно выполнять в любом порядке. Они не тратят время, но повысят стресс. Вернуться домой можно через флаг на базе экспедиции или с помощью кнопки ""Домой"" в левом верхнем углу экрана.\n\nИщите находки, которые можно собрать в качестве подарков! События возобновляются в начале каждого года, а новые находки могут появляться каждый сезон."	
tutorial_battle1	Во время работы или учёбы вы будете разыгрывать короткие карточные игры по мере прохождения месяца. Перемещайте карты, чтобы заполнить 5 слотов и составить максимально выгодную комбинацию. Да, порядок имеет значение...	
tutorial_battle1b	Если ваш результат в круге справа достигнет целевого значения, вы выиграете.\n\nВ зависимости от ваших карт, некоторые испытания не получится пройти, но вы все равно получите награду за свои старания.	
tutorial_battle2	Бонус за флеши (одинаковые цвета вместе):	
tutorial_battle2b	Бонус за пары (одинаковые числа вместе):	
tutorial_battle3	Бонус за стрит (увеличение слева направо):	
tutorial_battle3b	Чем больше карт во флеше, парах или стрите, тем выше бонус, добавляемый к вашему общему результату. Карты также могут влиять друг на друга и могут быть переставлены для достижения наилучшего общего результата.	
tutorial_battle_settings_a	Ищете более сложный вариант? Этот вариант «Более сложные испытания» не даст вам заскучать.	
tutorial_battle_settings_b	Хотите сосредоточиться на сюжете? В этом случае будущие мини-игры будут заменены быстрым подбрасыванием монеты, зависящим от вашего возраста и навыков. Вы можете изменить любой из этих вариантов в любое время в меню настроек.	
tutorial_battle_story	В сюжетных испытаниях три раунда вместо одного. После каждого раунда вы сохраняете неиспользованные карты и открываете дополнительный слот для их размещения. Проигрыш в сюжетных испытаниях не всегда плохо!	
tutorial_battle_conditions	С возрастом у испытаний появятся свои условия. Масть испытания (социальная, ментальная или физическая) определяет, какие условия могут возникнуть и какие колоды будут наиболее эффективны.\n\nПостарайтесь собрать социальные (жёлтые) карты, если хотите выигрывать битвы за социальные навыки (эмпатия, убеждение, творчество, смелость).	
tutorial_afterjob	Ваши навыки растут во время работы или учебы, и вы получаете бонусные очки навыков за победу в испытаниях и бонус за составление самой лучшей комбинации карт.\n\nРабота и учёба также повышает уровень стресса, который помешает вам работать и учиться, если он достигнет 100. Чтобы снять стресс, возьмите месячный отпуск и отдохните в жилом крыле.	
tutorial_year	Детство скоротечно! Игра закончится, когда вам исполнится 20 лет, поэтому сосредоточьтесь на развитии нескольких навыков и на общении с друзьями. Используйте кнопки «Навыки» и «Друзья» в левом верхнем углу экрана, чтобы следить за ними. Удачи!	
		
		
gallery_bg_attack	атака	
gallery_bg_bar	бар гелиос	
gallery_bg_barn	амбар	
gallery_bg_barn_glow	ночной амбар	
gallery_bg_bedroom	спальня	
gallery_bg_bedroom_newship	спальня гелиос	
gallery_bg_bedroom_newship_night	спальня ночью	
gallery_bg_bridge	мостик	
gallery_bg_cafe	кафе	
gallery_bg_cafeteria	кафетерий	
gallery_bg_cave	пещера	
gallery_bg_cave_array	пещера домена	
gallery_bg_classroom	классная комната	
gallery_bg_colony	колония страто	
gallery_bg_colony_dusk	склон в сумерках	
gallery_bg_colony_glow	инженерия в сиянии	
gallery_bg_colony_newship	колония гелио	
gallery_bg_colony_newship_wet	гелио во влагу	
gallery_bg_colony_quiet	инженерное крыло	
gallery_bg_colony_wet	обрыв на закате	
gallery_bg_command	командное крыло	
gallery_bg_construction	стройка	
gallery_bg_creche	ясли	
gallery_bg_creche_night	ясли ночью	
gallery_bg_darkness	тьма	
gallery_bg_darkness_suns	система вертумна	
gallery_bg_depot	депо	
gallery_bg_destroyed	разрушенная колония	
gallery_bg_destroyed_dusty	посадка гелио	
gallery_bg_earth	земля	
gallery_bg_engineering	инженерия	
gallery_bg_expeditions	ворота экспедиции	
gallery_bg_expeditionsreturn	экспедиция в сумерках	
gallery_bg_expeditionsreturn_day	возврат из экспедиции	
gallery_bg_expeditions_map	карта экспедиции	
gallery_bg_fantasy_forest	фентезийный лес	
gallery_bg_garden	сад	
gallery_bg_garrison	гарнизон страто	
gallery_bg_garrison_newship	холл гарнизона	
gallery_bg_geoponics	геопоника	
gallery_bg_glow	червоточина в сиянии	
gallery_bg_glow_alt	сияшки	
gallery_bg_glow_close	сияние вблизи	
gallery_bg_greenhouse	теплица	
gallery_bg_hidden_black	темнота	
gallery_bg_hidden_geoponics_blur	геопоника в размытии	
gallery_bg_hidden_papertexture	бумажная текстура	
gallery_bg_hidden_starfield_white_static	белое звездное поле	
gallery_bg_medbay	медотсек	
gallery_bg_medbay_night	медотсек ночью	
gallery_bg_nearby	окрестный грибной лес	
gallery_bg_nearby_close	окрестности вблизи	
gallery_bg_otherquarters	комната друга	
gallery_bg_pinup_anemone	энимона на защите	
gallery_bg_pinup_anemone_yuck	отвращение энимоны	
gallery_bg_pinup_beans	 пикси лихорадка	
gallery_bg_pinup_cal	кел и носочек	
gallery_bg_pinup_cal_scared	кел что-то скрывает	
gallery_bg_pinup_dad	прощание	
gallery_bg_pinup_dys	трансформация диса	
gallery_bg_pinup_dys_field	музыка и звёзды	
gallery_bg_pinup_kom_attack14	безликий атакует	
gallery_bg_pinup_marz	губернаторка марц	
gallery_bg_pinup_marz_holopalm	ностальгия марц	
gallery_bg_pinup_mom	жертва флулу	
gallery_bg_pinup_nomi	первая игра номи	
gallery_bg_pinup_nomi_game	персонаж номи	
gallery_bg_pinup_rex	секси рекс	
gallery_bg_pinup_rex_cards	карты с рексом	
gallery_bg_pinup_sfc	решение загадки скв	
gallery_bg_pinup_sym	верхом на симе	
gallery_bg_pinup_sym_fall	падение сима	
gallery_bg_pinup_tammy	темми и эхинацея	
gallery_bg_pinup_tammy_saved	темми спасена	
gallery_bg_pinup_tang	танг на крыше	
gallery_bg_pinup_tang_dys_bar	близнецы в баре	
gallery_bg_pinup_tonin	тонин под атакой	
gallery_bg_pinup_vace	космоисследователь вейс	
gallery_bg_pinup_vace_rex_fight	драка вейса и рекса	
gallery_bg_plains	равнины вдали	
gallery_bg_plains_alt	другие равнины	
gallery_bg_plains_close	равнины вблизи	
gallery_bg_quarters	жилое крыло страто	
gallery_bg_quarters_newship	жилое крыло гелио	
gallery_bg_recycler	похороны	
gallery_bg_ridge	нагорье вдали	
gallery_bg_ridge_alt	другое нагорье	
gallery_bg_ridge_close	нагорье вблизи	
gallery_bg_ruins	руины домена	
gallery_bg_sportsball	поле спортбола	
gallery_bg_swamp	болота вдали	
gallery_bg_swamp_alt	другие болота	
gallery_bg_swamp_close	болота вблизи	
gallery_bg_valley	долина вдали	
gallery_bg_valley_alt	другая долина	
gallery_bg_valley_close	долина вблизи	
gallery_bg_walls	стены	
gallery_bg_walls_night	стены ночью	
gallery_bg_workshop	мастерская	
gallery_bg_ending_architect_f	архитекторка	
gallery_bg_ending_architect_m	архитектор	
gallery_bg_ending_architect_nb	архитектор	
gallery_bg_ending_astronaut_f	астронавтка	
gallery_bg_ending_astronaut_m	астронавт	
gallery_bg_ending_astronaut_nb	астронавт	
gallery_bg_ending_athlete_f	атлетка	
gallery_bg_ending_athlete_m	атлет	
gallery_bg_ending_athlete_nb	атлет	
gallery_bg_ending_botanist_f	ботанша	
gallery_bg_ending_botanist_m	ботаник	
gallery_bg_ending_botanist_nb	ботаник	
gallery_bg_ending_collector_f	собирательница	
gallery_bg_ending_collector_m	собиратель	
gallery_bg_ending_collector_nb	собиратель	
gallery_bg_ending_doctor_f	докторка	
gallery_bg_ending_doctor_m	доктор	
gallery_bg_ending_doctor_nb	доктор	
gallery_bg_ending_entertainer_f	артистка	
gallery_bg_ending_entertainer_m	артист	
gallery_bg_ending_entertainer_nb	артист	
gallery_bg_ending_explorer_f	исследовательница	
gallery_bg_ending_explorer_m	исследователь	
gallery_bg_ending_explorer_nb	исследователь	
gallery_bg_ending_farmer_f	фермерша	
gallery_bg_ending_farmer_m	фермер	
gallery_bg_ending_farmer_nb	фермер	
gallery_bg_ending_governor_f	губернаторка	
gallery_bg_ending_governor_m	губернатор	
gallery_bg_ending_governor_nb	губернатор	
gallery_bg_ending_hero_f	героиня	
gallery_bg_ending_hero_m	герой	
gallery_bg_ending_hero_nb	герой	
gallery_bg_ending_hobbyist_f	любительница	
gallery_bg_ending_hobbyist_m	любитель	
gallery_bg_ending_hobbyist_nb	любитель	
gallery_bg_ending_hunter_f	охотница	
gallery_bg_ending_hunter_m	охотник	
gallery_bg_ending_hunter_nb	охотник	
gallery_bg_ending_lawyer_f	адвокатка	
gallery_bg_ending_lawyer_m	адвокат	
gallery_bg_ending_lawyer_nb	адвокат	
gallery_bg_ending_merchant_f	торговка	
gallery_bg_ending_merchant_m	торговец	
gallery_bg_ending_merchant_nb	торговец	
gallery_bg_ending_novelist_f	писательница	
gallery_bg_ending_novelist_m	писатель	
gallery_bg_ending_novelist_nb	писатель	
gallery_bg_ending_parent_f	родительница	
gallery_bg_ending_parent_m	родитель	
gallery_bg_ending_parent_nb	родитель	
gallery_bg_ending_professor_f	профессорка	
gallery_bg_ending_professor_m	профессор	
gallery_bg_ending_professor_nb	профессор	
gallery_bg_ending_rancher_f	фермерша	
gallery_bg_ending_rancher_m	фермер	
gallery_bg_ending_rancher_nb	фермер	
gallery_bg_ending_rebel_f	бунтарка	
gallery_bg_ending_rebel_m	бунтарь	
gallery_bg_ending_rebel_nb	бунтарь	
gallery_bg_ending_roboticist_f	робототехница	
gallery_bg_ending_roboticist_m	робототехник	
gallery_bg_ending_roboticist_nb	робототехник	
gallery_bg_ending_special_bomb	побег	
gallery_bg_ending_special_colonydestroyed	колония уничтожена	
gallery_bg_ending_special_destroygardeners	отключение массива	
gallery_bg_ending_special_earth	жизнь на земле	
gallery_bg_ending_special_joingardeners	становление садовником	
gallery_bg_ending_special_shipdestroyed	страто уничтожен	
gallery_bg_ending_special_timelord	трансцендентность	
gallery_bg_ending_special_virus	средство тангент	
		
		
		
gearPane_empty	Закрыто\n(Нужен перк)	
fillbar_perk	{1} Перк: {2}	Shop Clothes Perk: New cards in the depot
fillbar_skill_boosted	{1} улучшено статусом: {2}	Mental boosted from status: Enlightened
fillbar_skill_reduced	{1} снижено статусом: {2}	
fillbar_skill_iconTitle	{1} навыки	Mental Skills
		
intro_title_enhancement	Расширение	
intro_title_friend	Друг детства	
intro_title_cards	Воспоминания	
		
		
		
hotkey_interact	Взаимодействовать	
hotkey_cancel	Отмена	
hotkey_submitInput	Отправить текст	
hotkey_toolbar	Панель инструментов	
hotkey_system	Система	
hotkey_friends	Друзья	
hotkey_cards	Карты	
hotkey_skills	Навыки	
hotkey_home	Домой	
hotkey_moveUp	Вверх	
hotkey_moveDown	Вниз	
hotkey_moveLeft	Влево	
hotkey_moveRight	Вправо	
hotkey_guiUp	UI Вверх	
hotkey_guiDown	UI Вниз	
hotkey_guiLeft	UI Влево	
hotkey_guiRight	UI Вправо	
hotkey_tabLeft	UI Вкладка слева	
hotkey_tabRight	UI Вкладка справа	
hotkey_scrollUp	Листать вверх	
hotkey_scrollDown	Листать вниз	
hotkey_scrollLeft	Листать влево	
hotkey_scrollRight	Листать вправо	
hotkey_choice1	Выбор #1	
hotkey_choice2	Выбор #2	
hotkey_choice3	Выбор #3	
hotkey_choice4	Выбор #4	
hotkey_choice5	Выбор #5	
hotkey_choice6	Выбор #6	
hotkey_choice7	Выбор #7	
hotkey_choice8	Выбор #8	
hotkey_choice9	Выбор #9	
settings_resetAllControls	Сбросить управление	
settings_customPronouns	Другие местоимения	
settings_resetAll	Сбросить всё	
settings_pronounsTitle	Используйте эти кнопки, чтобы заменить приведенные ниже записи или настроить их индивидуально	
settings_pronounsSingular	Autofill with {1} (Singular: {2} is)	
settings_pronounsPlural	Autofill with {1} (Plural: {2} are)	
settings_pronounsBase	они|она|он	For autofilling custom pronouns, not sure if/how this will work
settings_pronounsThey	они	
settings_pronounsShe	она	
		
setting_disableTutorialMessages	Отключить обучение	
setting_harderCardChallenges	Более сложные испытания	
setting_skipCardChallenges	Пропуск испытаний	
setting_skipSeenText	Пропуск виденного текста	
setting_sortDrawnCards	Сортировать карты	
setting_runInBackground	Запуск на фоне	
setting_hardwareMouseCursor	Аппаратный курсор мыши	
setting_resolution	Разрешение	
setting_fullscreenMode	Режим 	
setting_quality	Качество	
setting_textureQuality	Качество текстур	
setting_antiAliasing	Анти алиасинг	
setting_vSyncCount	В-Синхронизация	
setting_menuTransparency	Прозрачность меню	
setting_biggerMenus	Большое меню	
setting_disableScreenShake	Отключить тряску	
setting_onlyShowEquippedPets	Только экипированные питомцы	
setting_terrainEffects	Эффекты рельефа	
setting_waterEffects	Эффекты воды	
setting_weatherEffects	Эффекты погоды	
setting_showGamepadGlyphs	Показывать кнопки геймпада	
setting_volumeMaster	Общее	
setting_volumeMusic	Музыка	
setting_volumeAmbient	Эмбиент	
setting_volumeUI	Интерфейс	
setting_volumeEffects	Эффекты	
setting_volumeFootsteps	Шаги	
setting_volumeVibrationIntensity	Вибрация	
setting_constantMusic	Постоянная музыка	
setting_splodeMode	Splode Mode	
setting_allChoices	All Choices	
setting_allTextChunks	All Text Chunks	
setting_disableBattlesChoose	Disable Battles Choose	
setting_autoloadSave	Autoload Save	
setting_autoStartBattle	Auto Start Battle	
setting_autoplayStories	Autoplay Stories	
setting_logProdToConsole	Log Prod To Console	
setting_extraBiggerFonts	Extra Bigger Fonts	
setting_fastMode	Fast Mode	
setting_disableCameraRectScalingWin	Disable Camera Rect Scaling Win	
setting_forceCameraRectScalingMac	Force Camera Rect Scaling Mac	
setting_skipMonthMenu	Skip Month Menu	
setting_turboTimeScale	Turbo Time Scale	
setting_disableCheevos	Disable Cheevos	
setting_hideConsoleLog	Hide Console Log	
setting_showQualityOnConsoles	Show Quality On Consoles	
setting_forceSteamDeck	Force Steam Deck	
setting_tradeShowMode	Trade Show Mode	
setting_textureQuality_half	Половина	
setting_textureQuality_quarter	Четверть	
setting_textureQuality_eighth	Половина четверти	
setting_textureQuality_full	Полное	
setting_antiAliasing_disabled	Отключено	
setting_antiAliasing_sampling	{1}x Мульти семплинг	2x Multi Sampling
setting_vSyncCount_every	Каждый В-Бланк	
setting_vSyncCount_second	Каждый второй В-Бланк	
setting_vSyncCount_none	Отключено	
settings_resetConfirm	Уверены, что хотите сбросить все настройки управления до заводских?	
settings_resetDone	Управление сброшено.	
settings_resetBindings	Вы уверены, что хотите сбросить ВСЕ настройки и привязки?	
settings_resetSettings	Настройки сброшены.	
settings_quality_very_low	очень низкое	
settings_quality_low	низкое	
settings_quality_medium	среднее	
settings_quality_high	высокое	
settings_quality_very_high	очень высокое	
settings_quality_ultra	ультра	
settings_fullscreen_exclusivefullscreen	полноэкранный	
settings_fullscreen_fullscreenwindow	полный в окне	
settings_fullscreen_windowed	оконный	
settings_fullscreen_maximizedwindow	максимальный в окне	